week,sales0,price0,sales1,price1
235,226,2.765,110,2.44
236,747,2.09,140,2.4525
237,232,2.735,389,1.95
238,349,2.59,112,2.1175
239,237,2.725,217,1.8575
240,282,2.765,206,1.99
241,254,2.765,1173,1.045
242,255,2.765,119,2.3825
243,1110,2.09,99,2.49
244,304,2.51,319,1.99
245,247,2.5525,84,2.465
246,880,2.09,124,1.73
247,210,2.7625,1206,1.0325
248,284,2.59,71,2.355
249,249,2.74,100,2.49
250,878,2.09,62,2.49
251,392,2.5375,77,2.49
252,164,2.765,89,2.49
253,333,2.425,80,2.3625
254,445,2.38,278,2.19
255,488,2.39,150,2.2025
256,352,2.46,246,1.99
257,475,2.43,93,2.49
258,275,2.7375,71,2.49
259,1022,2.09,73,2.49
260,404,2.605,83,2.49
261,230,2.765,81,2.3875
262,447,2.565,725,1.225
263,1015,1.7925,87,2.2425
264,261,2.6025,98,2.49
265,824,1.995,102,2.49
266,447,2.565,725,1.225
267,1015,1.7925,87,2.2425
268,261,2.6025,98,2.49
269,824,1.995,102,2.49
270,236,2.59,1161,1.0575
271,304,2.64,90,2.395
272,1010,1.985,80,2.49
273,263,2.72,113,2.49
274,601,2.575,84,2.49
275,1087,1.855,100,2.4875
276,338,2.375,84,2.49
277,290,2.765,344,2.065
278,468,2.59,76,2.49
279,262,2.6875,102,2.49
280,316,2.76,851,1.99
281,332,2.765,141,2.49
282,468,2.59,76,2.49
283,262,2.6875,102,2.49
284,570,2.667143,90,2.49
285,236,2.815714,90,2.49
286,293,2.861429,708,1.5
287,298,2.508571,89,2.49
288,374,2.291429,77,2.49
289,248,2.768571,1108,1.99
290,989,1.991429,67,2.4325
291,458,2.725714,73,2.49
292,1089,2.008571,56,1.55
293,274,2.787143,136,2.026667
294,568,2.79,400,.7425
295,242,2.82,166,1.615
296,241,2.861429,64,2.59
297,1110,2.475714,71,2.0475
298,272,2.851429,60,1.545
299,677,1.975714,60,2.4225
300,948,2.045714,49,2.59
301,512,2.691429,68,2.59
302,154,2.861429,57,2.59
303,190,2.861429,1272,1.99
304,141,2.861429,76,2.565
305,284,2.861429,73,2.59
306,263,2.741429,122,2.4425
307,137,2.601667,98,2.39
308,357,2.623333,62,2.3975
309,290,2.74,412,1.99
310,230,2.861429,97,2.585
311,197,2.861429,61,2.59
312,803,2.304286,77,2.59
313,204,2.858572,611,1.79
314,276,2.861429,101,2.585
315,198,2.861429,72,2.59
316,207,2.861429,89,2.3725
317,368,2.661429,153,.9775
318,170,2.861429,56,2.49
319,1078,1.994286,51,2.49
320,680,1.92,45,2.49
321,1379,1.86,75,2.49
322,255,2.86,82,2.49
323,967,2.472857,218,1.5
324,419,1.804286,105,2.2325
325,263,2.74,89,2.48
326,401,2.153333,49,2.49
327,539,2.14,93,2.49
328,640,2.29,1113,1.13
329,320,2.686666,76,2.49
330,229,2.904286,111,2.49
331,283,2.735714,61,2.49
332,183,2.831429,1056,1.0725
333,847,2.047143,91,2.38
334,156,2.873333,90,2.49
335,176,2.873333,393,1.93
336,211,2.873333,163,2.1
337,846,2.048571,326,2.165
338,203,2.871667,1313,1.04
339,423,2.725,85,2.3675
340,196,2.873333,54,2.4675
341,191,2.83,83,2.49
342,916,2.073333,69,2.415
343,215,2.87,75,2.485
344,575,2.681667,72,2.505
345,248,2.89,82,2.59
346,211,2.89,78,2.59
347,1005,2.073333,75,2.59
348,173,2.88,56,2.59
349,258,2.89,87,2.59
350,249,2.89,80,2.59
351,559,2.686667,60,2.59
352,484,2.475,53,2.59
353,252,2.898333,57,2.59
354,152,2.99,61,2.59
355,1243,2.073333,51,2.59
356,310,2.805,65,2.59
357,186,3.09,56,2.59
358,263,2.741429,122,2.4425
359,137,2.601667,98,2.39
360,357,2.623333,62,2.3975
361,290,2.74,412,1.99
362,240,2.933333,75,2.59
363,213,2.99,79,2.59
364,1282,2.081667,57,2.59
365,550,2.038333,125,2
366,405,2.381667,55,2.59
367,295,2.49,757,1.5
368,942,2.081667,40,2.526667
369,1067,2.081667,42,2.59
372,264,2.908333,86,2.39
373,351,2.908333,70,2.396667
374,1263,2.073333,36,2.59
375,221,2.976667,1021,1.5
376,229,2.99,54,2.576667
377,1550,2.081667,50,2.613333
378,310,2.891667,61,2.59
379,231,3.04,64,2.71
380,1023,2.398333,45,2.89
381,290,2.945,418,2.39
382,389,2.875,65,2.89
383,241,3.05,59,2.89
384,280,3.046667,365,1.773333
385,1396,2.506667,51,2.746667
386,1289,2.498333,97,2.606667
387,212,3.018333,1233,2.5
388,212,3.018333,1233,2.5
389,1286,2.74,26,2.89
390,229,2.96,67,2.89
391,274,3.031667,68,2.89
392,132,3.038333,76,2.56
393,288,3.006667,67,2.856667
394,288,3.006667,67,2.856667
395,1122,2.443333,48,2.89
396,217,3.031667,399,2.49
397,191,3.04,72,2.883333
398,190,3.04,50,2.89
399,1145,2.498333,39,2.89
